data_inicio,data_fim,id_evento,gravidade,descricao,latitude,longitude,tipo_ocorrencia
2022-01-16 19:37:50.000000 UTC,2022-01-16 21:45:49.000000 UTC,70212,Baixo,"Rua pedro américo, alt. r. do catete - catete - sent. glória",-22.9234676,-43.1773358,Bolsão d'água em via
2022-01-29 15:32:46.000000 UTC,2022-01-29 16:08:43.000000 UTC,70591,Baixo,"R. do catete, alt. r. silveira martins - catete",-22.9269656,-43.1766115,Bolsão d'água em via
2022-01-16 20:07:46.000000 UTC,2022-01-16 20:59:53.000000 UTC,70220,Baixo,"Av. mem de sá, alt. r. dos inválidos - centro - sent. lapa",-22.912313,-43.1861477,Bolsão d'água em via
2022-01-11 18:06:52.000000 UTC,2022-01-11 19:01:12.000000 UTC,70106,Baixo,"Rua da constituição, 10 - centro",-22.9066803,-43.1841751,Bolsão d'água em via
2022-01-11 17:57:10.000000 UTC,2022-01-11 18:20:59.000000 UTC,70104,Baixo,"Av. rodrigo otávio, 260 - gávea",-22.9750828,-43.2261809,Bolsão d'água em via
2022-01-11 17:19:23.000000 UTC,2022-01-11 18:14:40.000000 UTC,70094,Baixo,"R. mario ribeiro, alt. r. min. raul machado - gávea",-22.9778928,-43.2220873,Bolsão d'água em via
2022-01-16 19:49:13.000000 UTC,2022-01-16 21:56:13.000000 UTC,70216,Baixo,"Rua mario ribeiro, alt. clube flamengo - leblon - sent. lagoa",-22.9776408,-43.2203293,Bolsão d'água em via
2022-01-07 19:24:44.000000 UTC,2022-01-07 20:51:23.000000 UTC,69963,Baixo,"Rua mario ribeiro, alt. clube flamengo - leblon - sent. lagoa",-22.9776408,-43.2203293,Bolsão d'água em via
2022-01-11 17:28:18.000000 UTC,2022-01-11 19:06:32.000000 UTC,70097,Baixo,R. silva rabêlo - méier,-22.8999136,-43.2814755,Bolsão d'água em via
2022-01-11 16:56:32.000000 UTC,2022-01-11 18:11:45.000000 UTC,70083,Baixo,Av. brasil - alt. r. filomena nunes - olaria sent. centro ,-22.8379735,-43.259726000000008,Bolsão d'água em via
2022-01-10 07:50:18.000000 UTC,2022-01-10 15:30:52.000000 UTC,70032,Baixo,"Av. chrisóstomo pimentel de oliveira,alt. via light - pavuna",-22.8158896,-43.3877139,Bolsão d'água em via
